species,pi,xi,kernel,TL,OI,FT
species279,0.2,0.055,Exponential,2.4642772366041674,0.38710103588576633,omnivore
species280,0.2,0.055,Exponential,2.4647558793290356,0.38905040599376217,omnivore
species281,0.2,0.055,Exponential,2.4693353828871585,0.39971812589318806,omnivore
species282,0.2,0.055,Exponential,2.4835957751033346,0.40981102695555893,omnivore
species283,0.2,0.055,Exponential,2.487464541304163,0.4112036288297045,omnivore
species284,0.2,0.055,Exponential,2.523573295601303,0.4344442866559239,omnivore
species285,0.2,0.055,Exponential,2.518253335343426,0.4346401164767953,omnivore
species286,0.2,0.055,Exponential,2.5558887086092104,0.4512530138967973,omnivore
species287,0.2,0.055,Exponential,2.551476893461521,0.4501046548828078,omnivore
species288,0.2,0.055,Exponential,2.558613941396359,0.45297864284824185,omnivore
species289,0.2,0.055,Exponential,2.5586139413963567,0.45297864284824185,omnivore
species290,0.2,0.055,Exponential,2.565660648859129,0.45574607013135693,omnivore
species291,0.2,0.055,Exponential,2.5925864921937904,0.4688354852657362,omnivore
species292,0.2,0.055,Exponential,2.592586492193792,0.4688354852657362,omnivore
species293,0.2,0.055,Exponential,2.5972525275653955,0.4697403018405542,omnivore
species294,0.2,0.055,Exponential,2.5945040405856763,0.47172357016986155,omnivore
species295,0.2,0.055,Exponential,2.6008917962556017,0.4771231045582276,omnivore
species296,0.2,0.055,Exponential,2.612674298941144,0.48194082886138,omnivore
species297,0.2,0.055,Exponential,2.617696219424266,0.4827891422275031,omnivore
species298,0.2,0.055,Exponential,2.632512344201274,0.4927430699686137,omnivore
species299,0.2,0.055,Exponential,2.626740364258025,0.49477904247490284,omnivore
species300,0.2,0.055,Exponential,2.640269831289407,0.4986874147934476,omnivore
species301,0.2,0.055,Exponential,2.6587870228602166,0.5111333659603133,omnivore
species302,0.2,0.055,Exponential,2.6587870228602153,0.5111333659603133,omnivore
species303,0.2,0.055,Exponential,2.678648162786282,0.5148956194428889,omnivore
species304,0.2,0.055,Exponential,2.6786481627862813,0.5148956194428889,omnivore
species305,0.2,0.055,Exponential,2.6899138682818364,0.5232019578401533,omnivore
species306,0.2,0.055,Exponential,2.6899138682818386,0.5232019578401533,omnivore
species307,0.2,0.055,Exponential,2.7167191057385836,0.535889007571219,omnivore
species308,0.2,0.055,Exponential,2.756446588496562,0.5415859078839106,omnivore
species309,0.2,0.055,Exponential,2.759084693106142,0.5454201623416386,omnivore
species310,0.2,0.055,Exponential,2.7590846931061423,0.5454201623416386,omnivore
species311,0.2,0.055,Exponential,2.747160793538739,0.5492586174995148,omnivore
species312,0.2,0.055,Exponential,2.8180766828063253,0.5539826333078939,omnivore
species313,0.2,0.055,Exponential,2.8509672534530197,0.5684769235020114,omnivore
species314,0.2,0.055,Exponential,2.942073895538998,0.5546287645858465,omnivore
species315,0.2,0.055,Exponential,2.947907634639326,0.5544705887534372,omnivore
species316,0.2,0.055,Exponential,2.945282836820667,0.5630745459965596,omnivore
species317,0.2,0.055,Exponential,2.945282836820666,0.5630745459965596,omnivore
species318,0.2,0.055,Exponential,2.970158700947523,0.5537587611807341,omnivore
species319,0.2,0.055,Exponential,3.0344542829269847,0.5414712866172069,omnivore
species320,0.2,0.055,Exponential,3.0438320001718746,0.5409422829792603,omnivore
species321,0.2,0.055,Exponential,3.076380789519307,0.5271972161228747,omnivore
species322,0.2,0.055,Exponential,3.1027228803268354,0.5137638783320014,omnivore
species323,0.2,0.055,Exponential,3.1920838855414644,0.4618611031538133,omnivore
species324,0.2,0.055,Exponential,3.221938196081028,0.4450514894628405,omnivore
species325,0.2,0.055,Exponential,3.2178892626086686,0.45133099605926497,omnivore
species326,0.2,0.055,Exponential,3.306644514527963,0.44290139366176784,omnivore
species327,0.2,0.055,Exponential,3.3653174958632412,0.3995245336316682,omnivore
species328,0.2,0.055,Exponential,3.365317495863242,0.3995245336316682,omnivore
species329,0.2,0.055,Exponential,3.3635374096070385,0.407039756264755,omnivore
species330,0.2,0.055,Exponential,3.363537409607038,0.407039756264755,omnivore
species331,0.2,0.055,Exponential,3.363537409607039,0.407039756264755,omnivore
species332,0.2,0.055,Exponential,3.390273437246395,0.3778505389117418,omnivore
species333,0.2,0.055,Exponential,3.400344291784618,0.39340771601317165,omnivore
species334,0.2,0.055,Exponential,3.4968859301392623,0.3469511468162584,omnivore
species335,0.2,0.055,Exponential,3.5619679271018394,0.2603799873992466,omnivore
species336,0.2,0.055,Exponential,3.599572483268126,0.2151575979651469,omnivore
species337,0.2,0.055,Exponential,3.5995724832681293,0.2151575979651469,omnivore
species338,0.2,0.055,Exponential,3.615674485778083,0.22257148632093385,omnivore
species339,0.2,0.055,Exponential,3.6571955436412265,0.16890227709356412,omnivore
species340,0.2,0.055,Exponential,3.7100988340241106,0.10830916642738135,omnivore
species341,0.2,0.055,Exponential,3.7100988340241123,0.10830916642738136,omnivore
species342,0.2,0.055,Exponential,3.7629057212290764,0.042030434739471934,carnivore
species343,0.2,0.055,Exponential,3.762905721229076,0.042030434739471934,carnivore
species344,0.2,0.055,Exponential,3.775005341516914,0.04105718566842537,carnivore
species345,0.2,0.055,Exponential,3.814120251724926,0.052855499066395,carnivore
species346,0.2,0.055,Exponential,3.871212229122904,0.07251568123561487,carnivore
species347,0.2,0.055,Exponential,3.9099643951409426,0.07934710946508346,carnivore
species348,0.2,0.055,Exponential,3.933651086977688,0.07725592883777457,carnivore
species349,0.2,0.055,Exponential,3.933651086977688,0.07725592883777457,carnivore
species350,0.2,0.055,Exponential,3.9473885221767504,0.08292032292444976,carnivore
species351,0.2,0.055,Exponential,3.9620213651511564,0.08972495335554627,carnivore
species352,0.2,0.055,Exponential,4.000221820053469,0.10194356044296743,carnivore
species353,0.2,0.055,Exponential,4.102983319252773,0.13005171106357027,carnivore
species354,0.2,0.055,Exponential,4.179705736468821,0.14040033396615906,carnivore
species355,0.2,0.055,Exponential,4.179705736468823,0.14040033396615906,carnivore
species356,0.2,0.055,Exponential,4.346443304861945,0.15315577455162827,carnivore
species357,0.2,0.055,Exponential,4.374965587402275,0.15302833794952847,carnivore
species358,0.2,0.055,Exponential,4.403672561662782,0.1416038207860729,carnivore
species359,0.2,0.055,Exponential,4.419019891866514,0.13484709692015917,carnivore
species360,0.2,0.055,Exponential,4.451301380573993,0.1341957481688014,carnivore
species361,0.2,0.055,Exponential,4.451301380573992,0.1341957481688014,carnivore
species362,0.2,0.055,Exponential,4.4513013805739945,0.1341957481688014,carnivore
species363,0.2,0.055,Exponential,4.4513013805739945,0.1341957481688014,carnivore
species364,0.2,0.055,Exponential,4.466745885397593,0.1274504405689662,carnivore
species365,0.2,0.055,Exponential,4.4999068087032335,0.14406527320753246,carnivore
species366,0.2,0.055,Exponential,4.529340283542613,0.1323655398892765,carnivore
species367,0.2,0.055,Exponential,4.5951518364571395,0.12577997682493103,carnivore
species368,0.2,0.055,Exponential,4.595151836457139,0.12577997682493103,carnivore
species369,0.2,0.055,Exponential,4.6311725258534135,0.13005923206109174,carnivore
species370,0.2,0.055,Exponential,4.685099166972141,0.14543434653766898,carnivore
species371,0.2,0.055,Exponential,4.685099166972138,0.14543434653766898,carnivore
species372,0.2,0.055,Exponential,4.720285901482193,0.14859229657499728,carnivore
species373,0.2,0.055,Exponential,4.738115547313698,0.15768394503858935,carnivore
species374,0.2,0.055,Exponential,4.738115547313696,0.15768394503858935,carnivore
species375,0.2,0.055,Exponential,4.804542354418621,0.1575556032289355,carnivore
species376,0.2,0.055,Exponential,4.804542354418622,0.1575556032289355,carnivore
species377,0.2,0.055,Exponential,4.883024447025828,0.15191881467919827,carnivore
species378,0.2,0.055,Exponential,4.8830244470258295,0.15191881467919827,carnivore
species379,0.2,0.055,Exponential,4.89878824791648,0.1581533744766099,carnivore
species380,0.2,0.055,Exponential,4.898788247916479,0.1581533744766099,carnivore
species381,0.2,0.055,Exponential,4.898788247916482,0.1581533744766099,carnivore
species382,0.2,0.055,Exponential,4.89878824791648,0.1581533744766099,carnivore
species383,0.2,0.055,Exponential,4.9602112152950895,0.16254203869167308,carnivore
species384,0.2,0.055,Exponential,5.139547117049423,0.15003735830354145,carnivore
species385,0.2,0.055,Exponential,5.154146347055868,0.15490341121128479,carnivore
species386,0.2,0.055,Exponential,5.184397324142506,0.16645859448878056,carnivore
species387,0.2,0.055,Exponential,5.216347099533822,0.15257992628739286,carnivore
species388,0.2,0.055,Exponential,5.264616095488744,0.1327792496697031,carnivore
species389,0.2,0.055,Exponential,5.281032867160299,0.1261264831387483,carnivore
species390,0.2,0.055,Exponential,5.362800924160307,0.10626195306840551,carnivore
species391,0.2,0.055,Exponential,5.3776644533850355,0.11073733030093998,carnivore
species392,0.2,0.055,Exponential,5.448379039963822,0.11602283125348156,carnivore
species393,0.2,0.055,Exponential,5.494953574407365,0.10419389450736961,carnivore
species394,0.2,0.055,Exponential,5.494953574407365,0.10419389450736961,carnivore
species395,0.2,0.055,Exponential,5.494953574407365,0.10419389450736961,carnivore
species396,0.2,0.055,Exponential,5.511203273831432,0.09731821829401283,carnivore
species397,0.2,0.055,Exponential,5.544658192685178,0.11234517996506015,carnivore
species398,0.2,0.055,Exponential,5.66630919612504,0.08206623108124511,carnivore
species399,0.2,0.055,Exponential,5.699093806135825,0.09644339705997741,carnivore
species400,0.2,0.055,Exponential,5.699093806135824,0.09644339705997741,carnivore
